resource_id,facility_id,resource_type,turnaround_minutes,next_maintenance_date,utilization_pct_trailing_12mo,status
RES-339,FAC-117,Infusion Chair,13,2026-07-23,40.4,Underutilized (<60%)
RES-340,FAC-107,CT Suite,23,2026-09-25,49.8,Underutilized (<60%)
RES-341,FAC-107,CT Suite,56,2027-01-06,74.4,Healthy
RES-342,FAC-106,MRI Suite,31,2026-10-18,94.3,Overbooked (>90%)
RES-343,FAC-114,Procedure Room,27,2026-09-08,55.6,Underutilized (<60%)
RES-344,FAC-108,Lab Station,52,2026-10-07,62.2,Healthy
RES-345,FAC-116,Exam Room,56,2026-05-03,52.6,Underutilized (<60%)
RES-346,FAC-115,Exam Room,37,2026-06-27,39.7,Underutilized (<60%)
RES-347,FAC-114,MRI Suite,26,2026-12-03,47.0,Underutilized (<60%)
RES-348,FAC-102,Lab Station,35,2027-01-11,43.2,Underutilized (<60%)
RES-349,FAC-104,X-Ray Room,33,2026-07-08,66.1,Healthy
RES-350,FAC-114,CT Suite,11,2026-12-04,90.1,Overbooked (>90%)
RES-351,FAC-106,X-Ray Room,31,2026-12-04,78.7,Healthy
RES-352,FAC-113,Procedure Room,19,2026-03-13,49.6,Underutilized (<60%)
RES-353,FAC-106,Procedure Room,38,2026-07-17,61.2,Healthy
RES-354,FAC-105,Lab Station,34,2026-09-21,84.1,Healthy
RES-355,FAC-111,Lab Station,26,2027-01-02,81.5,Healthy
RES-356,FAC-109,Infusion Chair,56,2026-08-26,98.8,Overbooked (>90%)
RES-357,FAC-105,Procedure Room,50,2026-09-22,82.1,Healthy
RES-358,FAC-114,MRI Suite,17,2026-03-29,49.0,Underutilized (<60%)
RES-359,FAC-104,Procedure Room,32,2026-02-20,98.4,Overbooked (>90%)
RES-360,FAC-118,X-Ray Room,32,2026-11-02,66.9,Healthy
RES-361,FAC-103,Infusion Chair,29,2026-04-01,72.6,Healthy
RES-362,FAC-105,Lab Station,45,2026-09-02,96.1,Overbooked (>90%)
RES-363,FAC-115,Ultrasound Room,58,2026-06-08,60.3,Healthy
RES-364,FAC-118,Ultrasound Room,10,2026-02-18,76.2,Healthy
RES-365,FAC-115,Infusion Chair,35,2026-12-09,58.6,Underutilized (<60%)
RES-366,FAC-115,Procedure Room,54,2026-09-17,96.9,Overbooked (>90%)
RES-367,FAC-115,CT Suite,59,2026-03-31,86.6,Healthy
RES-368,FAC-116,CT Suite,13,2026-10-05,44.3,Underutilized (<60%)
RES-369,FAC-107,MRI Suite,21,2026-12-11,67.8,Healthy
RES-370,FAC-111,Lab Station,57,2026-04-22,52.1,Underutilized (<60%)
RES-371,FAC-102,Lab Station,31,2026-04-10,47.5,Underutilized (<60%)
RES-372,FAC-103,X-Ray Room,36,2026-10-26,54.7,Underutilized (<60%)
RES-373,FAC-113,X-Ray Room,35,2026-10-19,94.7,Overbooked (>90%)
RES-374,FAC-111,Lab Station,21,2026-11-06,83.0,Healthy
RES-375,FAC-104,Ultrasound Room,54,2026-12-05,94.5,Overbooked (>90%)
RES-376,FAC-118,Exam Room,53,2026-09-04,44.1,Underutilized (<60%)
RES-377,FAC-101,Ultrasound Room,27,2027-01-15,85.0,Healthy
RES-378,FAC-111,Lab Station,33,2026-05-16,45.5,Underutilized (<60%)
RES-379,FAC-113,Infusion Chair,25,2026-09-08,93.6,Overbooked (>90%)
